artist,title,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,genre
Kacey Musgraves,Feliz Navidad,0.724,0.566,0.0305,0.617,0.00023,0.234,0.873,country
Kacey Musgraves;Camila Cabello,Rockin' Around The Christmas Tree - From The Kacey Musgraves Christmas Show,0.745,0.598,0.0975,0.129,0.0,0.678,0.789,country
Kacey Musgraves;Leon Bridges,Present Without A Bow,0.693,0.492,0.0378,0.559,3.66e-06,0.0972,0.595,country
Kacey Musgraves,Feliz Navidad,0.724,0.566,0.0305,0.617,0.00023,0.234,0.873,country
Kacey Musgraves;Leon Bridges,Present Without A Bow,0.693,0.492,0.0378,0.559,3.66e-06,0.0972,0.595,country
Kacey Musgraves;Leon Bridges,Present Without A Bow,0.693,0.492,0.0378,0.559,3.66e-06,0.0972,0.595,country
Kacey Musgraves;Leon Bridges,Present Without A Bow,0.693,0.492,0.0378,0.559,3.66e-06,0.0972,0.595,country
Kacey Musgraves;Leon Bridges,Present Without A Bow,0.693,0.492,0.0378,0.559,3.66e-06,0.0972,0.595,country
Kacey Musgraves,Feliz Navidad,0.724,0.566,0.0305,0.617,0.00023,0.234,0.873,country
Kacey Musgraves,Feliz Navidad,0.724,0.566,0.0305,0.617,0.00023,0.234,0.873,country
Kacey Musgraves;Leon Bridges,Present Without A Bow,0.693,0.492,0.0378,0.559,3.66e-06,0.0972,0.595,country
Kacey Musgraves;Leon Bridges,Present Without A Bow,0.693,0.492,0.0378,0.559,3.66e-06,0.0972,0.595,country
Kacey Musgraves;Leon Bridges,Present Without A Bow,0.693,0.492,0.0378,0.559,3.66e-06,0.0972,0.595,country
Kacey Musgraves;Leon Bridges,Present Without A Bow,0.693,0.492,0.0378,0.559,3.66e-06,0.0972,0.595,country
Kacey Musgraves;Troye Sivan,Glittery - From The Kacey Musgraves Christmas Show Soundtrack,0.595,0.275,0.0309,0.864,0.0,0.107,0.345,country
Kacey Musgraves;Camila Cabello,Rockin' Around The Christmas Tree - From The Kacey Musgraves Christmas Show,0.745,0.598,0.0975,0.129,0.0,0.678,0.789,country
Kacey Musgraves,Feliz Navidad,0.724,0.566,0.0305,0.617,0.00023,0.234,0.873,country
Kacey Musgraves;Camila Cabello,Rockin' Around The Christmas Tree - From The Kacey Musgraves Christmas Show,0.745,0.598,0.0975,0.129,0.0,0.678,0.789,country
Kacey Musgraves;Camila Cabello,Rockin' Around The Christmas Tree - From The Kacey Musgraves Christmas Show,0.745,0.598,0.0975,0.129,0.0,0.678,0.789,country
Kacey Musgraves,Feliz Navidad,0.724,0.566,0.0305,0.617,0.00023,0.234,0.873,country
Kacey Musgraves;Troye Sivan,Glittery - From The Kacey Musgraves Christmas Show Soundtrack,0.595,0.275,0.0309,0.864,0.0,0.107,0.345,country
Kacey Musgraves;Camila Cabello,Rockin' Around The Christmas Tree - From The Kacey Musgraves Christmas Show,0.745,0.598,0.0975,0.129,0.0,0.678,0.789,country
Kacey Musgraves;Camila Cabello,Rockin' Around The Christmas Tree - From The Kacey Musgraves Christmas Show,0.745,0.598,0.0975,0.129,0.0,0.678,0.789,country
Kacey Musgraves;Zooey Deschanel,Mele Kalikimaka - From The Kacey Musgraves Christmas Show,0.78,0.5,0.0468,0.571,0.0,0.718,0.717,country
Kacey Musgraves;Camila Cabello,Rockin' Around The Christmas Tree - From The Kacey Musgraves Christmas Show,0.745,0.598,0.0975,0.129,0.0,0.678,0.789,country
Kacey Musgraves;Camila Cabello,Rockin' Around The Christmas Tree - From The Kacey Musgraves Christmas Show,0.745,0.598,0.0975,0.129,0.0,0.678,0.789,country
Kacey Musgraves;Camila Cabello,Rockin' Around The Christmas Tree - From The Kacey Musgraves Christmas Show,0.745,0.598,0.0975,0.129,0.0,0.678,0.789,country
Kacey Musgraves;Camila Cabello,Rockin' Around The Christmas Tree - From The Kacey Musgraves Christmas Show,0.745,0.598,0.0975,0.129,0.0,0.678,0.789,country
Kacey Musgraves;Camila Cabello,Rockin' Around The Christmas Tree - From The Kacey Musgraves Christmas Show,0.745,0.598,0.0975,0.129,0.0,0.678,0.789,country
Kacey Musgraves,Feliz Navidad,0.724,0.566,0.0305,0.617,0.00023,0.234,0.873,country
Kacey Musgraves;Camila Cabello,Rockin' Around The Christmas Tree - From The Kacey Musgraves Christmas Show,0.745,0.598,0.0975,0.129,0.0,0.678,0.789,country
Kacey Musgraves;Zooey Deschanel,Mele Kalikimaka - From The Kacey Musgraves Christmas Show,0.78,0.5,0.0468,0.571,0.0,0.718,0.717,country
Kacey Musgraves,Christmas Makes Me Cry - From The Kacey Musgraves Christmas Show,0.506,0.21,0.0569,0.808,0.0,0.75,0.414,country
Kacey Musgraves,Christmas Makes Me Cry - From The Kacey Musgraves Christmas Show,0.506,0.21,0.0569,0.808,0.0,0.75,0.414,country
Kacey Musgraves;Willie Nelson,A Willie Nice Christmas,0.622,0.636,0.0352,0.775,0.000161,0.136,0.759,country
Kacey Musgraves,Christmas Makes Me Cry - From The Kacey Musgraves Christmas Show,0.506,0.21,0.0569,0.808,0.0,0.75,0.414,country
Kacey Musgraves;Camila Cabello,Rockin' Around The Christmas Tree - From The Kacey Musgraves Christmas Show,0.745,0.598,0.0975,0.129,0.0,0.678,0.789,country
Josh Turner,Your Man,0.744,0.637,0.0241,0.337,0.000222,0.0696,0.785,country
Lady A,Need You Now,0.581,0.717,0.0318,0.0298,0.000186,0.243,0.316,country
Shania Twain,You're Still The One,0.585,0.494,0.0353,0.363,0.0,0.0886,0.634,country
Kane Brown;Swae Lee;Khalid,Be Like That - feat. Swae Lee & Khalid,0.727,0.626,0.0726,0.0469,2.58e-05,0.126,0.322,country
Dan + Shay,Glad You Exist,0.748,0.551,0.0349,0.235,0.0,0.119,0.66,country
Kane Brown;blackbear,Memory,0.434,0.889,0.0509,0.395,0.0,0.273,0.845,country
Restless Road,Growing Old With You,0.478,0.516,0.0267,0.403,0.0,0.0823,0.376,country
Brett Young,In Case You Didn't Know,0.607,0.536,0.0305,0.386,0.0,0.102,0.434,country
Brett Young,Mercy,0.638,0.367,0.0266,0.84,0.0,0.0999,0.219,country
Kacey Musgraves,justified,0.669,0.552,0.0587,0.807,0.000874,0.321,0.488,country
Rascal Flatts;Natasha Bedingfield,Easy - Single Edit,0.531,0.599,0.0321,0.123,0.0,0.103,0.464,country
Brett Young,Silver Bells,0.509,0.478,0.0561,0.606,0.0,0.102,0.469,country
Parker McCollum,Handle On You,0.588,0.931,0.0318,0.00411,0.0,0.345,0.625,country
Lynyrd Skynyrd,Sweet Home Alabama,0.614,0.724,0.0247,0.217,0.000256,0.146,0.902,country
Riley Green,I Let A Damn Good Woman Leave,0.526,0.583,0.0268,0.0395,3.61e-06,0.0644,0.381,country
Brett Young,You Ain't Here To Kiss Me,0.411,0.662,0.0513,0.0924,0.0,0.122,0.435,country
Lady A;Little Big Town,The Thing That Wrecks You,0.474,0.474,0.0265,0.347,2.75e-05,0.104,0.131,country
Brett Young,Hallelujah,0.445,0.401,0.0294,0.63,2.36e-06,0.0958,0.206,country
Rascal Flatts,Joy To The World,0.417,0.88,0.0521,0.167,0.0,0.0755,0.579,country
Lady A,Christmas Through Your Eyes,0.584,0.579,0.024,0.428,3.66e-05,0.302,0.256,country
Kacey Musgraves;Leon Bridges,Present Without A Bow,0.693,0.492,0.0378,0.559,3.66e-06,0.0972,0.595,country
Lynyrd Skynyrd,Sweet Home Alabama,0.614,0.724,0.0247,0.217,0.000256,0.146,0.902,country
Lynyrd Skynyrd,Simple Life,0.549,0.891,0.0351,0.0141,0.00323,0.0661,0.508,country
Kacey Musgraves;Leon Bridges,Present Without A Bow,0.693,0.492,0.0378,0.559,3.66e-06,0.0972,0.595,country
Darius Rucker,"You're A Mean One, Mr. Grinch",0.605,0.521,0.0403,0.264,0.0,0.102,0.765,country
Lady A,A Holly Jolly Christmas,0.626,0.52,0.0284,0.392,0.0,0.0447,0.746,country
Little Big Town,Have Yourself A Merry Little Christmas,0.376,0.179,0.0369,0.893,0.0,0.111,0.206,country
Little Big Town,Have Yourself A Merry Little Christmas,0.401,0.178,0.0372,0.897,0.0,0.107,0.221,country
Lady A,A Holly Jolly Christmas,0.626,0.52,0.0284,0.392,0.0,0.0447,0.746,country
Little Big Town,Boondocks,0.406,0.78,0.0324,0.21,0.0,0.474,0.687,country
Lynyrd Skynyrd,Simple Life,0.549,0.891,0.0351,0.0141,0.00323,0.0661,0.508,country
Riley Green,Jesus And Wranglers,0.579,0.754,0.0261,0.00805,0.0,0.0803,0.734,country
Lauren Alaina,O Holy Night,0.287,0.498,0.029,0.717,2.29e-06,0.072,0.141,country
Darius Rucker,Wagon Wheel,0.535,0.661,0.0304,0.46,0.0,0.142,0.596,country
Little Big Town,Have Yourself A Merry Little Christmas,0.401,0.178,0.0372,0.897,0.0,0.107,0.221,country
Kenny Rogers,I'll Be Home for Christmas,0.437,0.229,0.0296,0.729,9.06e-05,0.129,0.127,country
Little Big Town,Day Drinking,0.591,0.959,0.057,0.103,0.0,0.779,0.86,country
Kenny Rogers,I'll Be Home for Christmas,0.437,0.229,0.0296,0.729,9.06e-05,0.129,0.127,country
Lady A,Champagne Night - From Songland,0.523,0.927,0.0489,0.0272,5.98e-06,0.168,0.939,country
Darius Rucker,Wagon Wheel,0.535,0.661,0.0304,0.46,0.0,0.142,0.596,country
Lynyrd Skynyrd,Sweet Home Alabama,0.614,0.724,0.0247,0.217,0.000256,0.146,0.902,country
Lynyrd Skynyrd,Sweet Home Alabama,0.614,0.724,0.0247,0.217,0.000256,0.146,0.902,country
Toby Keith,A Little Less Talk And A Lot More Action,0.738,0.869,0.0401,0.123,0.0,0.277,0.92,country
Little Big Town,Go Tell It On The Mountain,0.538,0.881,0.0824,0.132,0.0,0.222,0.392,country
Kenny Rogers;Kim Carnes,Don't Fall In Love With A Dreamer,0.528,0.391,0.0253,0.0333,0.0,0.115,0.201,country
Lynyrd Skynyrd,Sweet Home Alabama,0.614,0.724,0.0247,0.217,0.000256,0.146,0.902,country
Riley Green,Georgia Time,0.594,0.621,0.0272,0.041,0.0,0.117,0.671,country
Kenny Rogers,I'll Be Home for Christmas,0.437,0.229,0.0296,0.729,9.06e-05,0.129,0.127,country
Lauren Alaina,Like My Mother Does - American Idol Performance,0.473,0.654,0.0291,0.0118,0.0,0.121,0.174,country
Toby Keith,"Courtesy Of The Red, White And Blue (The Angry American)",0.426,0.674,0.0452,0.48,1.32e-06,0.0784,0.378,country
Zach Bryan,Something in the Orange,0.369,0.192,0.04,0.555,8.35e-06,0.0954,0.148,country
Brad Paisley;Alison Krauss,Whiskey Lullaby (feat. Alison Krauss),0.587,0.35,0.0318,0.74,0.0,0.156,0.17,country
Josh Turner;Chris Janson,Country State Of Mind,0.594,0.833,0.0337,0.0119,0.0,0.315,0.592,country
Gabby Barrett,Pick Me Up,0.472,0.701,0.0369,0.0387,0.0,0.107,0.515,country
Gabby Barrett,Pick Me Up,0.472,0.701,0.0369,0.0387,0.0,0.107,0.515,country
Billy Ray Cyrus,Some Gave All,0.633,0.442,0.0296,0.036,7.57e-06,0.0672,0.241,country
Gabby Barrett,The Good Ones,0.519,0.552,0.0259,0.18,0.0,0.149,0.331,country
Gabby Barrett;Charlie Puth,I Hope,0.563,0.576,0.0401,0.171,0.0,0.158,0.412,country
Gabby Barrett,Pick Me Up,0.472,0.701,0.0369,0.0387,0.0,0.107,0.515,country
Billy Ray Cyrus,Achy Breaky Heart,0.768,0.753,0.0289,0.0541,0.0,0.0893,0.964,country
Gabby Barrett,Pick Me Up,0.472,0.701,0.0369,0.0387,0.0,0.107,0.515,country
Gabby Barrett,Pick Me Up,0.472,0.701,0.0369,0.0387,0.0,0.107,0.515,country
Josh Turner,Lay Low,0.634,0.679,0.0282,0.0813,0.000119,0.116,0.378,country
Gabby Barrett,The First Noel,0.458,0.351,0.0244,0.696,0.0,0.143,0.102,country
Gabby Barrett,The Good Ones,0.519,0.552,0.0259,0.18,0.0,0.149,0.331,country
Gabby Barrett,The First Noel,0.458,0.351,0.0244,0.696,0.0,0.143,0.102,country
Gabby Barrett,The First Noel,0.458,0.351,0.0244,0.696,0.0,0.143,0.102,country
Gabby Barrett,The Good Ones,0.519,0.552,0.0259,0.18,0.0,0.149,0.331,country
Carly Pearce,Every Little Thing,0.639,0.427,0.0368,0.434,1.14e-05,0.0903,0.322,country
Gabby Barrett,The Good Ones,0.519,0.552,0.0259,0.18,0.0,0.149,0.331,country
Gabby Barrett,Pick Me Up,0.472,0.701,0.0369,0.0387,0.0,0.107,0.515,country
Josh Turner,Go Tell It On The Mountain,0.508,0.485,0.0325,0.835,0.0,0.126,0.808,country
Gabby Barrett,The First Noel,0.458,0.351,0.0244,0.696,0.0,0.143,0.102,country
Justin Moore,On The Rocks,0.524,0.586,0.0273,0.375,0.0,0.11,0.416,country
Gabby Barrett,The Good Ones,0.519,0.552,0.0259,0.18,0.0,0.149,0.331,country
Maddie & Tae,Holly Jolly Christmas,0.699,0.487,0.0326,0.717,5.69e-06,0.0986,0.665,country
Carly Pearce,Day One,0.674,0.603,0.0452,0.267,0.0,0.108,0.524,country
Josh Turner,Soldier's Gift,0.598,0.326,0.0308,0.837,0.107,0.099,0.182,country
Gabby Barrett,The Good Ones,0.519,0.552,0.0259,0.18,0.0,0.149,0.331,country
Gabby Barrett,Pick Me Up,0.472,0.701,0.0369,0.0387,0.0,0.107,0.515,country
Gabby Barrett,Footprints on the Moon,0.506,0.749,0.0388,0.00648,2.03e-05,0.223,0.372,country
Justin Moore,She Ain’t Mine No More,0.606,0.795,0.0284,0.0411,0.0,0.0892,0.599,country
Gabby Barrett,Pick Me Up,0.472,0.701,0.0369,0.0387,0.0,0.107,0.515,country
Gabby Barrett,Pick Me Up,0.472,0.701,0.0369,0.0387,0.0,0.107,0.515,country
ZZ Top,Rough Boy,0.419,0.737,0.0364,0.204,0.00716,0.24,0.595,country
Maddie & Tae,Woman You Got,0.515,0.896,0.0558,0.112,0.0,0.161,0.715,country
Kenny Rogers,Christmas in America,0.524,0.228,0.0326,0.661,0.0,0.129,0.475,country
Kenny Rogers,I'll Be Home for Christmas,0.437,0.229,0.0296,0.729,9.06e-05,0.129,0.127,country
Maddie & Tae,Have Yourself A Merry Little Christmas,0.397,0.458,0.0293,0.339,0.00366,0.11,0.239,country
ZZ Top,Sharp Dressed Man - 2003 Remaster,0.527,0.786,0.0362,0.000153,0.00271,0.085,0.343,country
Kenny Rogers;Kim Carnes,Don't Fall In Love With A Dreamer,0.528,0.391,0.0253,0.0333,0.0,0.115,0.201,country
Billy Currington,Pretty Good At Drinkin' Beer,0.769,0.678,0.0315,0.427,8.04e-06,0.0939,0.581,country
Kenny Rogers,I'll Be Home for Christmas,0.437,0.229,0.0296,0.729,9.06e-05,0.129,0.127,country
Maddie & Tae,Christmas (Baby Please Come Home),0.424,0.451,0.0285,0.821,1.46e-06,0.124,0.184,country
Kenny Rogers;Kim Carnes,Don't Fall In Love With A Dreamer,0.528,0.391,0.0253,0.0333,0.0,0.115,0.201,country
Kenny Rogers,Kentucky Homemade Christmas,0.563,0.709,0.0272,0.0936,0.0,0.066,0.497,country
Billy Currington,People Are Crazy,0.657,0.714,0.0265,0.23,0.000744,0.127,0.361,country
Kenny Rogers,Christmas in America,0.524,0.228,0.0326,0.661,0.0,0.129,0.475,country
Kenny Rogers;Kim Carnes,Don't Fall In Love With A Dreamer,0.528,0.391,0.0253,0.0333,0.0,0.115,0.201,country
Travis Tritt,Santa Looked a Lot Like Daddy,0.622,0.778,0.0361,0.234,0.0236,0.0978,0.975,country
Kelsea Ballerini;LANY,I Quit Drinking,0.607,0.418,0.0363,0.394,0.0,0.182,0.386,country
Maren Morris;Hozier,The Bones - with Hozier,0.561,0.597,0.0405,0.286,0.0,0.0979,0.355,country
Tyler Hubbard,5 Foot 9,0.602,0.796,0.0465,0.146,0.0,0.125,0.53,country
Faith Hill,Like We Never Loved at All,0.494,0.467,0.0286,0.0822,0.0,0.111,0.292,country
Tyler Hubbard,35’s,0.535,0.79,0.0553,0.00358,0.0,0.257,0.402,country
Brett Eldredge,Hideaway,0.69,0.373,0.0286,0.618,0.0,0.128,0.473,country
Brett Eldredge,Songs About You,0.649,0.558,0.0253,0.147,0.0,0.172,0.635,country
Brett Eldredge,Holy Water,0.519,0.363,0.0302,0.317,1.17e-06,0.108,0.211,country
Brett Eldredge,Hideaway,0.69,0.373,0.0286,0.618,0.0,0.128,0.473,country
Brett Eldredge,Wanna Be That Song,0.518,0.686,0.0313,0.114,0.0,0.114,0.337,country
Brett Eldredge,Songs About You,0.649,0.558,0.0253,0.147,0.0,0.172,0.635,country
Brett Eldredge,Holy Water,0.519,0.363,0.0302,0.317,1.17e-06,0.108,0.211,country
Brett Eldredge;Meghan Trainor,"Baby, It's Cold Outside",0.609,0.575,0.0387,0.723,0.0,0.176,0.662,country
Faith Hill,This Kiss,0.47,0.779,0.0424,0.161,0.0,0.142,0.749,country
Brett Eldredge;Meghan Trainor,"Baby, It's Cold Outside",0.609,0.575,0.0387,0.723,0.0,0.176,0.662,country
Brett Eldredge,Hideaway,0.69,0.373,0.0286,0.618,0.0,0.128,0.473,country
Midland;Jon Pardi,Longneck Way To Go,0.485,0.883,0.0403,0.00177,6.38e-06,0.37,0.604,country
Brett Eldredge,Holy Water,0.519,0.363,0.0302,0.317,1.17e-06,0.108,0.211,country
Brett Eldredge,Gabrielle,0.707,0.722,0.0284,0.0485,0.0,0.122,0.431,country
Faith Hill,"Where Are You Christmas - From ""Dr. Seuss' How The Grinch Stole Christmas"" Soundtrack",0.373,0.333,0.0303,0.59,0.0,0.121,0.0815,country
Brett Eldredge,Songs About You,0.649,0.558,0.0253,0.147,0.0,0.172,0.635,country
Faith Hill,"Where Are You Christmas - From ""Dr. Seuss' How The Grinch Stole Christmas"" Soundtrack",0.373,0.333,0.0303,0.59,0.0,0.121,0.0815,country
Brett Eldredge,Hideaway,0.69,0.373,0.0286,0.618,0.0,0.128,0.473,country
Upchurch,Ghost,0.788,0.572,0.0606,0.705,0.000777,0.123,0.427,country
Brett Eldredge,Hideaway,0.69,0.373,0.0286,0.618,0.0,0.128,0.473,country
Faith Hill,Holly Jolly Christmas,0.606,0.372,0.0718,0.42,0.0,0.0432,0.662,country
Faith Hill;Tim McGraw,Let's Make Love,0.35,0.459,0.0274,0.339,0.0,0.111,0.153,country
Faith Hill,The Lucky One,0.674,0.866,0.0328,0.0739,0.0,0.377,0.684,country
Brett Eldredge,A Holly Jolly Christmas,0.681,0.474,0.0423,0.621,1.24e-06,0.137,0.7,country
Brett Eldredge,Time Well Spent,0.53,0.888,0.0817,0.0081,0.0,0.297,0.585,country
Brett Eldredge,Bring You Back,0.571,0.711,0.0423,0.307,0.0,0.203,0.571,country
Randy Travis,Meet Me under the Mistletoe,0.626,0.422,0.0492,0.246,0.0,0.342,0.661,country
Faith Hill,Holly Jolly Christmas,0.606,0.372,0.0718,0.42,0.0,0.0432,0.662,country
Midland,East Bound And Down,0.62,0.974,0.0717,0.041,1.61e-05,0.339,0.711,country
Steely Dan,Reelin' In The Years,0.52,0.758,0.0363,0.115,0.0,0.109,0.706,country
Faith Hill,"Where Are You Christmas - From ""Dr. Seuss' How The Grinch Stole Christmas"" Soundtrack",0.373,0.333,0.0303,0.59,0.0,0.121,0.0815,country
Faith Hill,"Where Are You Christmas - From ""Dr. Seuss' How The Grinch Stole Christmas"" Soundtrack",0.373,0.333,0.0303,0.59,0.0,0.121,0.0815,country
Randy Travis,Meet Me under the Mistletoe,0.626,0.422,0.0492,0.246,0.0,0.342,0.661,country
Faith Hill,"Where Are You Christmas - From ""Dr. Seuss' How The Grinch Stole Christmas"" Soundtrack",0.373,0.333,0.0303,0.59,0.0,0.121,0.0815,country
Faith Hill,"Where Are You Christmas - From ""Dr. Seuss' How The Grinch Stole Christmas"" Soundtrack",0.373,0.333,0.0303,0.59,0.0,0.121,0.0815,country
Brett Eldredge,Drunk on Your Love,0.443,0.831,0.0615,0.414,0.0,0.204,0.586,country
Randy Travis,"Forever and Ever, Amen (All the Number Ones Version)",0.709,0.635,0.0246,0.229,3.12e-05,0.194,0.741,country
Brett Eldredge;Meghan Trainor,"Baby, It's Cold Outside",0.609,0.575,0.0387,0.723,0.0,0.176,0.662,country
Steely Dan,Reelin' In The Years,0.52,0.758,0.0363,0.115,0.0,0.109,0.706,country
Travis Tritt,Take It Easy,0.633,0.876,0.0276,0.0116,0.0,0.0537,0.738,country
Randy Travis,Meet Me under the Mistletoe,0.626,0.422,0.0492,0.246,0.0,0.342,0.661,country
Travis Tritt,Santa Looked a Lot Like Daddy,0.622,0.778,0.0361,0.234,0.0236,0.0978,0.975,country
Travis Tritt,Santa Looked a Lot Like Daddy,0.622,0.778,0.0361,0.234,0.0236,0.0978,0.975,country
Travis Tritt,Worth Every Mile,0.441,0.298,0.0276,0.208,0.095,0.0983,0.169,country
Travis Tritt,Santa Looked a Lot Like Daddy,0.622,0.778,0.0361,0.234,0.0236,0.0978,0.975,country
Maren Morris,The Bones,0.612,0.57,0.0347,0.278,0.0,0.0963,0.334,country
Dan + Shay,Speechless,0.616,0.438,0.0298,0.356,0.0,0.24,0.386,country
Rascal Flatts,Life is a Highway,0.562,0.934,0.0607,0.00211,0.0,0.199,0.558,country
Eric Ethridge,If You Met Me First,0.31,0.552,0.0303,0.344,0.0,0.0689,0.244,country
Lynyrd Skynyrd,Sweet Home Alabama,0.596,0.605,0.0255,0.181,0.000331,0.0863,0.886,country
Dan + Shay;Justin Bieber,"10,000 Hours (with Justin Bieber) - Piano",0.426,0.366,0.0312,0.765,0.0,0.117,0.386,country
Creedence Clearwater Revival,Fortunate Son,0.64,0.663,0.0374,0.201,0.00806,0.152,0.663,country
BRELAND,For What It’s Worth,0.661,0.749,0.0371,0.0579,0.0,0.0898,0.682,country
BRELAND,Growing Pains,0.606,0.735,0.0349,0.0738,0.0,0.243,0.604,country
BRELAND;Keith Urban,Throw It Back,0.79,0.73,0.0926,0.0586,0.0,0.0878,0.513,country
Midland,Burn Out,0.672,0.724,0.0244,0.292,0.0,0.231,0.801,country
Johnny Cash,Hurt,0.534,0.392,0.0267,0.649,0.000227,0.0948,0.163,country
BRELAND,Natural,0.666,0.871,0.0499,0.00294,0.0,0.319,0.706,country
Ingrid Andress,Feel Like This,0.536,0.605,0.0338,0.141,0.0,0.0614,0.341,country
BRELAND,Natural,0.666,0.871,0.0499,0.00294,0.0,0.319,0.706,country
Ingrid Andress,Feel Like This,0.536,0.605,0.0338,0.141,0.0,0.0614,0.341,country
Ingrid Andress;Sam Hunt,Wishful Drinking,0.678,0.528,0.0551,0.289,0.0,0.0734,0.614,country
Ingrid Andress;Sam Hunt,Wishful Drinking,0.678,0.528,0.0551,0.289,0.0,0.0734,0.614,country
BRELAND;Lady A,Told You I Could Drink,0.542,0.68,0.0285,0.175,0.0,0.093,0.878,country
Ingrid Andress,Seeing Someone Else,0.443,0.497,0.0315,0.0738,9.81e-05,0.128,0.294,country
BRELAND;Lady A,Told You I Could Drink,0.542,0.68,0.0285,0.175,0.0,0.093,0.878,country
Ingrid Andress;Sam Hunt,Wishful Drinking,0.678,0.528,0.0551,0.289,0.0,0.0734,0.614,country
Ingrid Andress;Sam Hunt,Wishful Drinking,0.678,0.528,0.0551,0.289,0.0,0.0734,0.614,country
BRELAND;Keith Urban,Throw It Back,0.79,0.73,0.0926,0.0586,0.0,0.0878,0.513,country
BRELAND;Lady A,Told You I Could Drink,0.542,0.68,0.0285,0.175,0.0,0.093,0.878,country
BRELAND,Natural,0.666,0.871,0.0499,0.00294,0.0,0.319,0.706,country
Steely Dan,Do It Again,0.695,0.583,0.0303,0.157,7.61e-05,0.0576,0.96,country
BRELAND;Lady A,Told You I Could Drink,0.542,0.68,0.0285,0.175,0.0,0.093,0.878,country
Brett Eldredge,Christmas Time Is Here,0.322,0.301,0.0325,0.921,0.000799,0.168,0.234,country
Faith Hill,Little Drummer Boy,0.617,0.0774,0.049,0.948,1.98e-06,0.109,0.251,country
Trace Adkins,Honky Tonk Badonkadonk,0.643,0.919,0.0551,0.338,0.0,0.0555,0.823,country
Ingrid Andress;Sam Hunt,Wishful Drinking,0.678,0.528,0.0551,0.289,0.0,0.0734,0.614,country
Brett Eldredge,Christmas Time Is Here,0.322,0.301,0.0325,0.921,0.000799,0.168,0.234,country
Brett Eldredge,Christmas Time Is Here,0.322,0.301,0.0325,0.921,0.000799,0.168,0.234,country
Brett Eldredge,Christmas Time Is Here,0.322,0.301,0.0325,0.921,0.000799,0.168,0.234,country
BRELAND;Lady A,Told You I Could Drink,0.542,0.68,0.0285,0.175,0.0,0.093,0.878,country
BRELAND;Lady A,Told You I Could Drink,0.542,0.68,0.0285,0.175,0.0,0.093,0.878,country
Ingrid Andress,More Hearts Than Mine,0.375,0.428,0.029,0.109,0.0,0.105,0.361,country
Brett Eldredge,Christmas Time Is Here,0.322,0.301,0.0325,0.921,0.000799,0.168,0.234,country
BRELAND;Lady A,Told You I Could Drink,0.542,0.68,0.0285,0.175,0.0,0.093,0.878,country
Kip Moore,Hey Pretty Girl,0.431,0.373,0.0277,0.16,1.41e-05,0.259,0.0884,country
Ingrid Andress,Seeing Someone Else,0.443,0.497,0.0315,0.0738,9.81e-05,0.128,0.294,country
Kip Moore,Red White Blue Jean American Dream,0.561,0.765,0.0322,0.00319,6.28e-05,0.261,0.622,country
Reba McEntire;The Isaacs,What Child Is This?,0.528,0.198,0.027,0.911,0.000227,0.099,0.209,country
Reba McEntire,Hard Candy Christmas,0.647,0.275,0.0286,0.89,0.000786,0.112,0.323,country
Upchurch,Rattlin Chains,0.244,0.754,0.0646,0.0726,0.0,0.236,0.45,country
Steely Dan,Midnite Cruiser,0.64,0.644,0.0283,0.273,0.0,0.0449,0.722,country
Koe Wetzel,Powerball,0.455,0.512,0.0381,0.00846,0.0,0.165,0.0945,country
America,A Horse with No Name,0.653,0.507,0.0534,0.687,0.0147,0.155,0.831,country
America,A Horse with No Name,0.67,0.713,0.0491,0.643,0.000446,0.125,0.848,country
Kane Brown,Grand,0.583,0.856,0.0445,0.00484,0.0,0.224,0.48,country
Don Williams,You're My Best Friend,0.554,0.211,0.029,0.923,0.000438,0.117,0.331,country
Bob Dylan,Knockin' On Heaven's Door,0.513,0.396,0.0299,0.251,0.177,0.11,0.229,country
Rascal Flatts,Life is a Highway,0.582,0.952,0.0731,0.00324,0.0,0.223,0.655,country
Ingrid Andress,Blue,0.488,0.175,0.0491,0.952,1.01e-06,0.105,0.201,country
Ingrid Andress,Blue,0.488,0.175,0.0491,0.952,1.01e-06,0.105,0.201,country
Kidd G,People Talk,0.616,0.805,0.0391,0.00776,0.0,0.37,0.28,country
Ingrid Andress,Blue,0.488,0.175,0.0491,0.952,1.01e-06,0.105,0.201,country
Ingrid Andress,Blue,0.488,0.175,0.0491,0.952,1.01e-06,0.105,0.201,country
Ingrid Andress,Blue,0.488,0.175,0.0491,0.952,1.01e-06,0.105,0.201,country
Conner Smith,Didn't Go Too Far,0.553,0.839,0.0375,0.356,0.0,0.0966,0.367,country
Ingrid Andress,Blue,0.488,0.175,0.0491,0.952,1.01e-06,0.105,0.201,country
Vince Gill;Jenny Gill,Let There Be Peace On Earth,0.453,0.139,0.0302,0.806,3.11e-06,0.121,0.17,country
Vince Gill;Jenny Gill,Let There Be Peace On Earth,0.453,0.139,0.0302,0.806,3.11e-06,0.121,0.17,country
Conner Smith,I Hate Alabama,0.289,0.841,0.0497,0.205,0.0,0.37,0.392,country
Ian Munsick,Long Haul,0.505,0.627,0.0273,0.423,7.4e-05,0.0755,0.296,country
Ian Munsick,Long Haul,0.505,0.627,0.0273,0.423,7.4e-05,0.0755,0.296,country
